race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
2,Jamaica,2,run,321,16.7,11.92,8.58,134.1,0.72,8.89,12.3,134.4,0.905,1701,2,2,71.5,15.7,4.0,0.9,151,33,3.55,8.1
2,Jamaica,3,beat,313,27.8,5.76,4.29,41.1,0.744,4.31,5.79,41.0,0.939,1218,4,0,4.8,2.2,,,19,9,3.3,
2,Jamaica,4,run,313,14.8,11.9,8.61,136.2,0.724,8.72,12.11,135.6,0.899,1489,0,3,,,13.7,3.1,41,9,,8.1
2,Lady in red 2,1,beat,314,34.5,5.65,4.29,39.7,0.76,4.33,5.68,39.6,0.928,1347,6,0,5.7,2.6,,,34,15,4.07,
2,Lady in red 2,2,run,321,16.7,11.94,8.61,135.1,0.721,8.9,12.34,134.6,0.91,1704,0,3,,,48.0,10.5,144,31,,9.2
2,Lady in red 2,3,beat,313,28.1,5.76,4.24,41.7,0.736,4.26,5.78,41.8,0.926,1281,5,0,2.2,1.0,,,11,5,3.22,
2,Lady in red 2,4,run,313,15.3,11.87,8.47,135.5,0.714,8.55,12.08,134.6,0.901,1590,0,3,,,10.3,2.3,31,7,,7.33
2,MidlifeCrisis,1,beat,314,33.5,5.73,4.39,38.9,0.767,4.41,5.75,38.9,0.95,1236,4,0,2.6,1.1,,,11,5,4.3,
2,MidlifeCrisis,2,run,321,16.5,12.05,8.66,135.1,0.719,8.9,12.36,135.0,0.896,1682,2,2,43.7,9.5,-6.5,-1.4,74,16,7.45,8.4
2,MidlifeCrisis,3,beat,313,27.4,5.69,4.31,39.8,0.757,4.33,5.72,39.9,0.939,1116,4,0,2.8,1.3,,,11,5,4.52,
2,MidlifeCrisis,4,run,313,14.2,12.19,8.98,137.4,0.737,9.06,12.31,137.1,0.895,1390,0,3,,,11.1,2.4,33,7,,6.83
2,Mag,1,beat,314,34.9,5.63,4.21,40.8,0.747,4.23,5.68,41.2,0.904,1362,8,0,2.2,1.0,,,18,8,3.76,
